Locality,Price,Type,Subtype,Rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the plot,Number of facades,Swimming pool,State of the building,Sale Type
ERPIGNY,250000,HOUSE,COUNTRY_COTTAGE,5,None,0,0,0,0,None,0,None,844,4,0,TO_RENOVATE,For Sale
Berchem-Sainte-Agathe,650000,HOUSE,VILLA,4,235,1,0,0,1,60,1,500,750,4,0,GOOD,For Sale
Donceel,265000,HOUSE,HOUSE,2,180,0,0,0,1,None,0,None,290,3,0,GOOD,For Sale
Berlaar,549000,HOUSE,HOUSE,3,202,1,0,0,1,None,0,None,715,4,0,AS_NEW,For Sale
ANTWERPEN,475000,APARTMENT,DUPLEX,3,135,0,0,0,1,24,0,None,None,3,0,GOOD,For Sale
ANTWERPEN,475000,HOUSE,EXCEPTIONAL_PROPERTY,3,135,0,0,0,1,24,0,None,0,3,0,GOOD,For Sale
Tienen,225000,APARTMENT,APARTMENT,2,108,0,0,0,0,None,0,None,None,None,0,AS_NEW,For Sale
Antwerpen,398000,APARTMENT,APARTMENT,2,146,1,0,0,1,2,0,None,None,2,0,GOOD,For Sale
Sint-Pieters-Leeuw,469000,HOUSE,HOUSE,3,173,1,0,0,1,None,0,None,300,3,0,AS_NEW,For Sale
Comblain-au-Pont,180000,HOUSE,HOUSE,4,150,0,0,0,1,30,1,100,1153,4,0,GOOD,For Sale
Brasschaat,775000,HOUSE,VILLA,4,333,0,0,1,1,None,0,None,1719,4,0,TO_RENOVATE,For Sale
Stavelot,249000,HOUSE,HOUSE,3,162,0,0,0,0,None,1,130,298,4,0,AS_NEW,For Sale
Brugge Sint-Andries,415000,HOUSE,HOUSE,4,231,0,0,0,0,None,1,105,191,2,0,TO_BE_DONE_UP,For Sale
Zottegem,120000,HOUSE,HOUSE,2,166,0,0,0,0,None,0,None,380,None,0,TO_RENOVATE,For Sale
Seraing Ougrée,184000,HOUSE,TOWN_HOUSE,3,112,0,0,0,1,None,1,140,240,2,0,TO_RENOVATE,For Sale
Kontich,369000,HOUSE,HOUSE,3,173,0,0,0,1,None,1,200,343,3,0,AS_NEW,For Sale
Destelbergen,499000,HOUSE,HOUSE,4,246,0,0,0,0,None,0,None,605,None,0,GOOD,For Sale
Antwerpen,249000,APARTMENT,APARTMENT,2,75,0,0,0,1,6,0,None,None,2,0,JUST_RENOVATED,For Sale
Montigny-le-Tilleul,449000,HOUSE,VILLA,4,150,0,0,0,1,20,1,1150,1300,4,0,AS_NEW,For Sale
Nivelles,129000,APARTMENT,APARTMENT,1,60,0,0,0,0,None,0,None,None,2,0,None,For Sale
Schilde,945000,HOUSE,HOUSE,5,339,0,0,1,1,None,0,None,950,4,0,GOOD,For Sale
Bonheiden,590000,HOUSE,HOUSE,5,320,0,0,0,1,16,1,688,908,4,0,AS_NEW,For Sale
Evere,325000,APARTMENT,APARTMENT,1,64,1,0,0,1,24,0,None,None,3,0,None,For Sale
Lede,199000,HOUSE,HOUSE,3,190,0,0,0,0,None,1,70,216,3,0,None,For Sale
Koekelare,399000,HOUSE,HOUSE,2,138,0,0,0,0,None,1,305,440,4,0,AS_NEW,For Sale
ANS,328000,HOUSE,HOUSE,4,247,0,0,0,1,40,0,None,143,2,0,JUST_RENOVATED,For Sale
Denderleeuw,395000,HOUSE,HOUSE,3,303,1,0,0,1,40,1,310,596,2,0,GOOD,For Sale
Ukkel,415000,APARTMENT,DUPLEX,2,98,0,0,0,1,None,1,32,None,4,0,None,For Sale
ROOSDAAL,430000,HOUSE,HOUSE,5,300,0,0,0,1,None,0,None,786,3,0,TO_RENOVATE,For Sale
Sint-Kruis,540000,HOUSE,HOUSE,3,270,0,0,0,0,None,0,None,915,4,0,TO_RENOVATE,For Sale
Ixelles,545000,APARTMENT,DUPLEX,2,127,1,0,0,0,None,0,None,None,2,0,AS_NEW,For Sale
MEIX-LE-TIGE,795000,HOUSE,HOUSE,6,328,0,0,0,1,40,0,None,2580,4,0,None,For Sale
Jemeppe-sur-Sambre,295000,HOUSE,HOUSE,3,95,0,0,0,1,30,0,None,458,4,0,AS_NEW,For Sale
Bruxelles  2,990000,HOUSE,VILLA,4,450,0,0,1,0,None,1,950,1165,4,0,None,For Sale
RIXENSART,595000,HOUSE,HOUSE,4,223,0,0,1,1,10,0,None,1013,4,0,GOOD,For Sale
Pelt,295000,HOUSE,HOUSE,3,176,0,0,0,0,None,0,None,541,4,0,None,For Sale
BOUILLON,315000,HOUSE,MIXED_USE_BUILDING,6,250,0,0,0,0,None,0,None,110,2,0,None,For Sale
Soumagne,420000,HOUSE,VILLA,3,186,0,0,0,1,43,0,None,855,4,0,GOOD,For Sale
Zonnebeke,385000,HOUSE,HOUSE,3,160,0,0,0,1,17,0,None,352,None,0,GOOD,For Sale
Uccle,785000,HOUSE,HOUSE,5,260,0,0,0,1,None,1,30,0,2,0,GOOD,For Sale
Zonnebeke,395000,HOUSE,HOUSE,3,164,0,0,0,1,18,0,None,508,None,0,GOOD,For Sale
Bruxelles,990000,HOUSE,HOUSE,4,450,0,0,0,1,None,1,950,1165,4,0,GOOD,For Sale
Ganshoren,367000,APARTMENT,APARTMENT,3,105,0,0,0,1,10,0,None,None,3,0,AS_NEW,For Sale
Seraing,145000,HOUSE,MIXED_USE_BUILDING,6,267,0,0,0,1,None,1,70,176,2,0,TO_RENOVATE,For Sale
Petit-Fays,210000,HOUSE,HOUSE,4,None,0,0,1,0,None,1,1000,1134,3,0,None,For Sale
Rongy,495000,HOUSE,HOUSE,3,199,0,0,0,0,None,0,None,2876,4,0,GOOD,For Sale
Desselgem,180000,HOUSE,HOUSE,3,140,0,0,0,0,None,0,None,125,2,0,None,For Sale
LIBRAMONT-CHEVIGNY,340000,HOUSE,TOWN_HOUSE,4,None,0,0,0,1,41,0,None,1400,4,0,None,For Sale
Waterloo,695000,HOUSE,HOUSE,5,235,0,0,0,0,None,1,250,575,4,0,None,For Sale
COUILLET,135000,HOUSE,HOUSE,3,86,0,0,0,0,None,0,None,0,2,0,JUST_RENOVATED,For Sale
ROSELIES,499000,HOUSE,HOUSE,4,220,0,0,0,0,None,0,None,1000,4,0,JUST_RENOVATED,For Sale
HEMPTINNE-LEZ-FLORENNES,399000,HOUSE,HOUSE,7,280,0,0,0,0,None,0,None,480,4,0,JUST_RENOVATED,For Sale
CHARLEROI,240000,HOUSE,HOUSE,5,262,0,0,0,0,None,0,None,155,None,0,GOOD,For Sale
Izegem,159000,HOUSE,HOUSE,4,165,0,0,0,0,None,0,None,149,None,0,TO_RENOVATE,For Sale
Brugge,535000,HOUSE,HOUSE,4,150,0,0,0,1,1,1,1,255,4,0,AS_NEW,For Sale
Brugge,320000,HOUSE,HOUSE,2,73,0,0,0,0,None,0,None,60,None,0,GOOD,For Sale
Courcelles,270000,HOUSE,HOUSE,4,170,0,0,0,1,15,1,300,385,3,0,GOOD,For Sale
Berchem,500000,HOUSE,HOUSE,4,283,0,0,0,1,None,0,None,196,2,0,TO_RENOVATE,For Sale
Pelt,425000,HOUSE,HOUSE,4,352,0,0,0,0,None,0,None,955,4,0,GOOD,For Sale
Liege,255000,HOUSE,HOUSE,5,130,0,0,0,0,None,1,50,170,3,0,AS_NEW,For Sale
Liege,249900,HOUSE,HOUSE,5,130,0,0,0,0,None,1,122,170,3,0,AS_NEW,For Sale
BARBENÇON,599000,HOUSE,HOUSE,8,550,0,0,0,0,None,0,None,4621,4,0,JUST_RENOVATED,For Sale
MONTIGNIES-SUR-SAMBRE,240000,HOUSE,HOUSE,5,262,0,0,0,0,None,0,None,155,None,0,GOOD,For Sale
Beveren,299000,HOUSE,HOUSE,2,117,0,0,0,1,8,1,40,117,2,0,JUST_RENOVATED,For Sale
ERQUELINNES,79000,HOUSE,HOUSE,4,170,0,0,0,0,None,0,None,356,3,0,TO_RENOVATE,For Sale
GILLY,129000,HOUSE,HOUSE,2,85,0,0,0,0,None,0,None,0,None,0,None,For Sale
FRAIRE,259000,HOUSE,HOUSE,5,160,0,0,0,0,None,0,None,2030,4,0,GOOD,For Sale
PHILIPPEVILLE,199000,HOUSE,HOUSE,4,160,0,0,0,0,None,0,None,388,2,0,GOOD,For Sale
CHARLEROI,189000,HOUSE,HOUSE,4,100,0,0,0,0,None,0,None,547,3,0,JUST_RENOVATED,For Sale
VILLERS-LE-GAMBON,199000,HOUSE,HOUSE,4,160,0,0,0,0,None,0,None,388,2,0,GOOD,For Sale
PHILIPPEVILLE,399000,HOUSE,HOUSE,7,280,0,0,0,0,None,0,None,480,4,0,JUST_RENOVATED,For Sale
MARIEMBOURG,330000,HOUSE,HOUSE,4,160,0,0,0,0,None,0,None,1400,4,0,GOOD,For Sale
RANSART,349000,HOUSE,HOUSE,6,310,0,0,0,0,None,0,None,20000,4,0,None,For Sale
AUVELAIS,499000,HOUSE,HOUSE,4,220,0,0,0,0,None,0,None,1000,4,0,JUST_RENOVATED,For Sale
CHÂTELET,430000,HOUSE,HOUSE,4,240,0,0,0,0,None,0,None,1027,4,0,GOOD,For Sale
MONTIGNIES-SUR-SAMBRE,189000,HOUSE,HOUSE,4,100,0,0,0,0,None,0,None,547,3,0,JUST_RENOVATED,For Sale
GOSSELIES,59000,HOUSE,HOUSE,2,75,0,0,0,0,None,0,None,0,2,0,GOOD,For Sale
Brunehaut,330000,HOUSE,HOUSE,4,261,0,0,0,0,None,0,None,0,4,0,None,For Sale
La Roche-en-Ardenne,150000,HOUSE,HOUSE,3,115,0,0,0,0,None,0,None,60,2,0,None,For Sale
Woluwe-Saint-Pierre,299000,APARTMENT,GROUND_FLOOR,2,100,0,0,0,0,None,0,None,None,2,0,GOOD,For Sale
ZELLIK,299000,APARTMENT,APARTMENT,3,100,0,0,0,0,None,0,None,None,None,0,TO_BE_DONE_UP,For Sale
BERCHEM-SAINTE-AGATHE,589000,HOUSE,HOUSE,4,253,0,0,0,0,None,0,None,349,3,0,None,For Sale
ASSE,445000,HOUSE,APARTMENT_BLOCK,5,190,0,0,0,0,None,0,None,270,None,0,None,For Sale
Merelbeke,1090000,HOUSE,MIXED_USE_BUILDING,0,None,0,0,0,0,None,1,350,1387,3,0,None,For Sale
HUIZINGEN,559000,HOUSE,HOUSE,3,420,0,0,0,0,None,0,None,0,2,0,None,For Sale
Kortenberg,740000,HOUSE,VILLA,5,210,1,0,0,1,None,1,600,799,4,0,JUST_RENOVATED,For Sale
Sint-Gillis,399000,APARTMENT,APARTMENT,3,120,0,0,0,0,None,0,None,None,3,0,TO_BE_DONE_UP,For Sale
Sint-Pieters-Leeuw,519000,HOUSE,HOUSE,3,235,1,0,0,1,None,0,None,1213,4,0,GOOD,For Sale
Turnhout,275000,HOUSE,HOUSE,3,196,0,0,0,1,None,0,None,312,3,0,None,For Sale
Bousval,499000,HOUSE,HOUSE,3,160,0,0,0,1,30,1,400,550,2,0,JUST_RENOVATED,For Sale
Edegem,275000,APARTMENT,APARTMENT,3,95,0,0,0,0,None,0,None,None,2,0,AS_NEW,For Sale
Wechelderzande,485000,HOUSE,HOUSE,3,170,0,0,0,0,None,0,None,256,2,0,GOOD,For Sale
Oostende,195000,APARTMENT,APARTMENT,2,68,0,0,0,1,6,0,None,None,None,0,None,For Sale
Bruxelles,620000,APARTMENT,APARTMENT,3,125,1,0,0,1,30,1,100,None,None,0,AS_NEW,For Sale
TISSELT,291000,APARTMENT,APARTMENT,1,74,1,0,0,1,10,1,108,None,4,0,None,For Sale
Brussel,399000,APARTMENT,APARTMENT,2,100,0,0,0,1,12,0,None,None,4,1,GOOD,For Sale
Dinant,145000,APARTMENT,APARTMENT,2,81,0,0,0,0,None,0,None,None,2,0,GOOD,For Sale
Jette,949000,HOUSE,APARTMENT_BLOCK,7,288,1,0,0,1,14,1,50,200,2,0,None,For Sale
Uccle,794000,HOUSE,HOUSE,5,292,1,0,0,1,74,1,85,210,2,0,GOOD,For Sale
Kapellen,245000,HOUSE,HOUSE,3,160,0,0,0,1,None,1,750,900,3,0,TO_RENOVATE,For Sale
Liège,179500,HOUSE,HOUSE,2,103,0,0,0,1,40,0,None,93,2,0,GOOD,For Sale
Soumagne,299000,HOUSE,HOUSE,3,161,0,0,0,1,13,1,15,214,4,0,JUST_RENOVATED,For Sale
Beveren,1600000,HOUSE,HOUSE,4,713,0,0,0,1,None,0,None,1784,2,0,None,For Sale
Stekene,1600000,HOUSE,HOUSE,4,713,0,0,0,1,None,0,None,1784,2,0,None,For Sale
Knokke-Heist,5875000,HOUSE,VILLA,6,289,1,0,0,1,None,1,986,986,4,1,JUST_RENOVATED,For Sale
Beveren Kieldrecht,1600000,HOUSE,HOUSE,4,713,0,0,0,1,None,0,None,1784,2,0,None,For Sale
FOREST,199000,APARTMENT,FLAT_STUDIO,0,48,1,0,0,1,11,1,10,None,2,0,GOOD,For Sale
Deinze,250000,APARTMENT,APARTMENT,1,82,0,0,0,1,13,0,None,None,None,0,GOOD,For Sale
Deinze,270000,APARTMENT,APARTMENT,2,91,0,0,0,1,8,0,None,None,None,0,GOOD,For Sale
Deinze,270000,APARTMENT,APARTMENT,2,91,0,0,0,1,22,0,None,None,None,0,GOOD,For Sale
Deinze,260000,APARTMENT,APARTMENT,2,91,0,0,0,1,8,0,None,None,None,0,GOOD,For Sale
Forest,265000,APARTMENT,APARTMENT,1,73,1,0,0,1,7,0,None,None,2,0,GOOD,For Sale
Deinze,280000,APARTMENT,APARTMENT,2,91,0,0,0,1,8,0,None,None,None,0,GOOD,For Sale
Deinze,285000,APARTMENT,APARTMENT,2,97,0,0,0,1,4,0,None,None,None,0,GOOD,For Sale
Deinze,300000,APARTMENT,APARTMENT,2,97,0,0,0,1,18,0,None,None,None,0,GOOD,For Sale
Evere,299000,APARTMENT,APARTMENT,1,76,1,0,0,1,6,0,None,None,None,0,GOOD,For Sale
Mechelen,295000,APARTMENT,APARTMENT,3,95,0,0,0,1,None,0,None,None,3,0,AS_NEW,For Sale
MERKSEM,219000,APARTMENT,APARTMENT,2,88,0,0,0,0,None,0,None,None,2,0,GOOD,For Sale
SINT-TRUIDEN,409000,APARTMENT,PENTHOUSE,3,None,0,0,0,1,15,0,None,None,2,0,AS_NEW,For Sale
SINT-TRUIDEN,351000,APARTMENT,PENTHOUSE,3,None,0,0,0,1,16,1,158,None,2,0,AS_NEW,For Sale
MECHELEN,285000,APARTMENT,APARTMENT,2,98,0,0,0,0,None,0,None,None,None,0,None,For Sale
HOBOKEN,429000,HOUSE,HOUSE,4,193,0,0,0,0,None,0,None,142,2,0,None,For Sale
Mechelen,345000,HOUSE,HOUSE,3,96,1,0,0,1,None,0,None,106,None,0,None,For Sale
NIEUWKERKEN-WAAS,345000,HOUSE,HOUSE,3,183,0,0,0,1,22,1,650,1225,4,0,GOOD,For Sale
Antwerpen,199000,APARTMENT,APARTMENT,3,90,0,0,0,1,16,0,None,None,4,0,GOOD,For Sale
MERKSEM,169500,APARTMENT,APARTMENT,1,70,0,0,0,0,None,0,None,None,2,0,TO_RENOVATE,For Sale
Beerzel,337500,APARTMENT,APARTMENT,2,98,1,0,0,1,None,0,None,None,None,0,None,For Sale
Beerzel,267500,APARTMENT,APARTMENT,1,78,1,0,0,1,None,0,None,None,None,0,None,For Sale
Beerzel,327500,APARTMENT,APARTMENT,2,98,1,0,0,1,None,0,None,None,None,0,None,For Sale
Beerzel,267500,APARTMENT,APARTMENT,1,83,1,0,0,0,None,0,None,None,None,0,None,For Sale
Onze-Lieve-Vrouw-Waver,189000,APARTMENT,APARTMENT,1,65,0,0,0,0,None,0,None,None,None,0,None,For Sale
Hever,575000,HOUSE,HOUSE,4,251,1,0,0,0,None,0,None,1560,None,0,None,For Sale
Putte,498000,HOUSE,HOUSE,3,152,1,0,0,0,None,0,None,4012,None,0,None,For Sale
Heist-op-den-Berg,298000,HOUSE,HOUSE,3,198,0,0,0,0,None,0,None,115,None,0,None,For Sale
Ferrières,295000,HOUSE,HOUSE,4,143,0,0,0,0,None,0,None,1109,None,0,None,For Sale
Sint-Niklaas,399000,APARTMENT,APARTMENT,3,175,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Gent,315000,HOUSE,HOUSE,2,96,0,0,0,0,None,0,None,42,None,0,GOOD,For Sale
Roeselare,119000,APARTMENT,APARTMENT,1,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Ardooie,219000,HOUSE,HOUSE,5,248,0,0,0,0,None,0,None,294,None,0,None,For Sale
Sleidinge,250000,HOUSE,HOUSE,2,120,0,0,0,0,None,0,None,397,None,0,None,For Sale
Knokke,1650000,APARTMENT,APARTMENT,3,None,0,0,0,0,None,0,None,None,None,0,AS_NEW,For Sale
Knokke-Heist,795000,APARTMENT,APARTMENT,2,98,1,0,0,1,29,0,None,None,2,0,GOOD,For Sale
Woluwe-Saint-Lambert,810000,APARTMENT,PENTHOUSE,3,141,1,0,0,1,11,0,None,None,2,0,GOOD,For Sale
Braine-l'Alleud,496150,APARTMENT,APARTMENT,3,141,1,0,0,1,16,0,None,None,3,0,GOOD,For Sale
Deinze,420500,APARTMENT,APARTMENT,2,93,0,0,0,1,12,0,None,None,None,0,GOOD,For Sale
Schaerbeek,495000,APARTMENT,APARTMENT,2,142,1,0,0,0,None,0,None,None,2,0,GOOD,For Sale
Deinze,420500,APARTMENT,APARTMENT,2,93,0,0,0,1,12,0,None,None,4,0,GOOD,For Sale
Woluwe-Saint-Lambert,625000,APARTMENT,APARTMENT,2,116,1,0,0,1,13,0,None,None,2,0,GOOD,For Sale
Deinze,340000,APARTMENT,APARTMENT,2,97,0,0,0,1,20,0,None,None,None,0,GOOD,For Sale
Orp-Jauche,319900,APARTMENT,APARTMENT,2,113,1,0,0,0,None,1,242,None,2,0,GOOD,For Sale
Bachte-Maria-Leerne,379000,APARTMENT,APARTMENT,2,104,0,0,0,1,116,0,None,None,None,0,GOOD,For Sale
Roeselare,175000,HOUSE,HOUSE,3,172,0,0,0,0,None,0,None,130,2,0,TO_BE_DONE_UP,For Sale
uccle ,1295000,APARTMENT,PENTHOUSE,3,179,1,0,0,1,36,0,None,None,4,0,GOOD,For Sale
Kortemark,350000,HOUSE,BUNGALOW,3,150,0,0,0,0,None,0,None,2120,None,0,GOOD,For Sale
Péruwelz Bon-Secours,350000,HOUSE,MANSION,6,380,0,0,0,1,None,1,777,777,3,0,GOOD,For Sale
Wondelgem,375000,HOUSE,HOUSE,3,130,0,0,0,0,None,0,None,129,None,0,GOOD,For Sale
Eeklo,375000,HOUSE,HOUSE,3,189,0,0,0,0,None,0,None,210,4,0,AS_NEW,For Sale
NIEUWPOORT,145000,APARTMENT,FLAT_STUDIO,0,30,0,0,0,1,4,0,None,None,4,0,GOOD,For Sale
Oostende,129000,APARTMENT,APARTMENT,1,52,0,0,0,0,None,0,None,None,None,0,AS_NEW,For Sale
Overijse,975000,HOUSE,HOUSE,7,370,1,0,0,1,20,1,948,1243,4,0,GOOD,For Sale
Genk,439000,HOUSE,HOUSE,3,195,0,0,0,0,None,0,None,913,4,0,GOOD,For Sale
Uccle,449000,APARTMENT,APARTMENT,2,122,0,0,0,1,4,0,None,None,2,0,GOOD,For Sale
Saint-Gilles,415000,APARTMENT,DUPLEX,1,86,0,0,0,0,None,0,None,None,2,0,AS_NEW,For Sale
ATHUS,222000,APARTMENT,APARTMENT,2,75,0,0,0,1,15,0,None,None,2,0,None,For Sale
Gent,449000,APARTMENT,APARTMENT,2,105,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Aalst,590000,HOUSE,HOUSE,4,273,0,0,0,1,67,1,675,858,3,0,AS_NEW,For Sale
GREMBERGEN,243650,APARTMENT,APARTMENT,2,72,0,0,0,1,6,0,None,None,2,0,None,For Sale
Evergem,635000,HOUSE,HOUSE,5,None,0,0,0,0,None,0,None,1797,None,0,TO_BE_DONE_UP,For Sale
Gent,265000,APARTMENT,APARTMENT,1,60,0,0,0,0,None,0,None,None,2,0,GOOD,For Sale
Bruxelles,129000,APARTMENT,FLAT_STUDIO,0,30,0,0,0,1,7,0,None,None,4,0,GOOD,For Sale
Moorsele,None,APARTMENT_GROUP,APARTMENT_GROUP,None,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Deurne (2100),169000,APARTMENT,APARTMENT,1,None,0,0,0,1,8,0,None,None,None,0,None,For Sale
Nijlen,1695000,HOUSE,VILLA,4,610,1,0,0,0,None,0,None,1997,None,0,None,For Sale
Deurne (2100),269000,APARTMENT,APARTMENT,1,91,0,0,0,1,3,0,None,None,None,0,JUST_RENOVATED,For Sale
Oostende,375000,APARTMENT,APARTMENT,2,81,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Gent,339000,HOUSE,HOUSE,1,43,0,0,0,0,None,0,None,40,None,0,None,For Sale
Loonbeek,270000,HOUSE,HOUSE,1,38,0,0,0,1,15,1,1000,1290,None,0,TO_RENOVATE,For Sale
Etalle Sainte-Marie-sur-Semois,269000,APARTMENT,APARTMENT,2,85,0,0,0,1,13,0,None,None,None,0,None,For Sale
Desselgem,259000,APARTMENT,APARTMENT,3,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Stabroek,375000,HOUSE,HOUSE,4,155,0,0,0,1,None,0,None,0,2,0,None,For Sale
Turnhout,225000,APARTMENT,APARTMENT,2,121,0,0,0,1,12,0,None,None,2,0,GOOD,For Sale
Antwerpen,339000,APARTMENT,APARTMENT,2,100,0,0,0,1,13,0,None,None,2,0,None,For Sale
Antwerpen,150000,APARTMENT,APARTMENT,1,74,0,0,0,1,None,0,None,None,None,0,None,For Sale
Asse,629000,HOUSE,VILLA,4,170,1,0,1,1,None,0,None,1313,4,0,GOOD,For Sale
Dilbeek,274000,APARTMENT,APARTMENT,2,94,0,0,0,1,1,0,None,None,None,0,GOOD,For Sale
Kerksken,179000,HOUSE,HOUSE,4,170,0,0,0,0,None,0,None,126,None,0,TO_RENOVATE,For Sale
Sint-Lievens-Houtem,319000,HOUSE,HOUSE,4,220,0,0,0,0,None,0,None,356,None,0,JUST_RENOVATED,For Sale
Piétrain,860000,HOUSE,VILLA,6,720,0,0,0,1,None,0,None,2065,None,0,None,For Sale
Gembloux,249000,HOUSE,HOUSE,2,None,0,0,0,0,None,0,None,0,None,0,TO_RENOVATE,For Sale
Tiegem,475000,HOUSE,HOUSE,5,None,0,0,0,0,None,1,5555,5555,None,0,None,For Sale
Bilzen,369000,HOUSE,HOUSE,5,200,0,0,0,0,None,0,None,210,None,0,None,For Sale
Leuven,349000,APARTMENT,APARTMENT,1,69,0,0,0,0,None,0,None,None,None,0,AS_NEW,For Sale
Oudenaarde,300000,APARTMENT,APARTMENT,2,89,1,0,0,1,8,0,None,None,2,0,GOOD,For Sale
Gent,499000,APARTMENT,PENTHOUSE,2,155,1,0,0,1,8,0,None,None,4,0,AS_NEW,For Sale
Oudenaarde,329000,APARTMENT,APARTMENT,2,101,1,0,0,1,8,0,None,None,2,0,GOOD,For Sale
Antwerpen,275000,APARTMENT,APARTMENT,1,56,0,0,0,1,5,0,None,None,2,0,AS_NEW,For Sale
Oudenaarde,275000,APARTMENT,APARTMENT,2,86,1,0,0,1,4,0,None,None,2,0,GOOD,For Sale
Nieuwpoort,1175000,APARTMENT,APARTMENT,2,98,1,0,0,1,None,0,None,None,None,0,AS_NEW,For Sale
Zeebrugge,795000,APARTMENT,APARTMENT,3,168,0,0,0,1,None,0,None,None,None,0,GOOD,For Sale
HUY,449500,HOUSE,HOUSE,6,320,0,0,0,1,None,0,None,338,2,0,GOOD,For Sale
Seraing,119000,HOUSE,HOUSE,4,120,0,0,0,1,9,0,None,90,2,0,TO_RENOVATE,For Sale
HUY,449500,HOUSE,APARTMENT_BLOCK,6,320,0,0,0,1,None,0,None,338,2,0,GOOD,For Sale
AALTER,845000,HOUSE,VILLA,4,286,0,0,1,1,None,0,None,3632,4,0,TO_BE_DONE_UP,For Sale
CINEY,230000,APARTMENT,APARTMENT,2,91,0,0,0,1,2,0,None,None,3,0,JUST_RENOVATED,For Sale
Kruisem,995000,HOUSE,VILLA,5,430,0,0,0,1,None,0,None,3145,4,0,AS_NEW,For Sale
Woluwe-Saint-Lambert,265000,APARTMENT,APARTMENT,2,60,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
OESELGEM,365000,APARTMENT,APARTMENT,4,190,0,0,0,0,None,0,None,None,4,0,None,For Sale
Knokke-Heist,549000,APARTMENT,APARTMENT,2,91,1,0,0,1,4,0,None,None,2,0,GOOD,For Sale
TIELT,365000,APARTMENT,APARTMENT,4,190,0,0,0,0,None,0,None,None,4,0,None,For Sale
Leuven,590000,APARTMENT,APARTMENT,3,100,0,0,0,1,16,0,None,None,None,0,AS_NEW,For Sale
Sluis,885000,HOUSE,VILLA,4,245,0,0,0,0,None,0,None,800,None,0,None,For Sale
Oostende,116000,APARTMENT,APARTMENT,2,None,0,0,0,0,None,0,None,None,None,0,None,For Sale
Blankenberge,300000,HOUSE,HOUSE,4,266,0,0,0,0,None,0,None,60,None,0,None,For Sale
Sint-Gillis-Waas,199000,HOUSE,HOUSE,2,146,0,0,0,0,None,0,None,128,None,0,TO_RENOVATE,For Sale
Machelen (1830),325000,HOUSE,HOUSE,2,None,0,0,0,0,None,0,None,0,None,0,TO_BE_DONE_UP,For Sale
Onkerzele,369000,HOUSE,HOUSE,3,176,0,0,0,0,None,0,None,321,None,0,None,For Sale
Merksem,1175000,HOUSE,APARTMENT_BLOCK,3,None,0,0,0,0,None,0,None,565,None,0,GOOD,For Sale
Kortemark,335000,HOUSE,HOUSE,3,162,0,0,0,0,None,0,None,376,None,0,GOOD,For Sale
Marcinelle,150000,HOUSE,HOUSE,2,100,0,0,0,0,None,0,None,243,None,0,None,For Sale
Koksijde,429000,APARTMENT,APARTMENT,2,94,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Koksijde,295000,APARTMENT,APARTMENT,2,77,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Oostende,369000,APARTMENT,APARTMENT,2,89,0,0,0,0,None,0,None,None,None,0,AS_NEW,For Sale
Oostende,190000,APARTMENT,APARTMENT,1,55,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Waterloo,990000,HOUSE,HOUSE,5,318,1,0,0,1,45,0,None,1049,4,1,AS_NEW,For Sale
Oostende,998000,APARTMENT,APARTMENT,3,175,0,0,0,1,213,0,None,None,None,0,AS_NEW,For Sale
Roeselare,395000,HOUSE,HOUSE,3,187,0,0,0,0,None,0,None,910,None,0,None,For Sale
Bilzen,399000,APARTMENT,APARTMENT,2,106,0,0,0,1,15,1,53,None,None,0,GOOD,For Sale
Heist-aan-Zee,520000,APARTMENT,APARTMENT,2,65,0,0,0,1,4,0,None,None,None,0,GOOD,For Sale
Bilzen,385000,APARTMENT,APARTMENT,2,113,0,0,0,1,15,0,None,None,None,0,GOOD,For Sale
Bilzen,440000,APARTMENT,APARTMENT,2,113,0,0,0,1,43,0,None,None,None,0,GOOD,For Sale
Bilzen,349000,APARTMENT,APARTMENT,2,90,0,0,0,1,27,0,None,None,None,0,GOOD,For Sale
Bilzen,345000,APARTMENT,APARTMENT,2,85,0,0,0,1,18,0,None,None,None,0,GOOD,For Sale
Hasselt,349000,APARTMENT,PENTHOUSE,2,91,0,0,0,0,None,0,None,None,None,0,None,For Sale
Hasselt,369000,APARTMENT,PENTHOUSE,2,91,0,0,0,0,None,0,None,None,None,0,None,For Sale
Bilzen,325000,APARTMENT,APARTMENT,2,89,0,0,0,1,18,1,45,None,None,0,GOOD,For Sale
Herent Veltem-Beisem,330000,HOUSE,HOUSE,3,135,0,0,0,1,None,0,None,299,3,0,TO_BE_DONE_UP,For Sale
Brugge,387000,HOUSE,HOUSE,1,113,0,0,0,0,None,0,None,48,4,0,None,For Sale
