Locality,Price,Type,Subtype,Rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the plot,Number of facades,Swimming pool,State of the building,Sale Type
ANTWERPEN,199000,APARTMENT,APARTMENT,1,59,0,0,0,1,7,0,None,None,2,0,JUST_RENOVATED,For Sale
Saint-Gilles,945000,APARTMENT,APARTMENT,3,250,1,0,0,1,None,1,380,None,2,0,AS_NEW,For Sale
WAVRE,515000,HOUSE,HOUSE,3,216,0,0,1,1,67,1,1100,1550,4,0,TO_BE_DONE_UP,For Sale
MECHELEN,249000,APARTMENT,APARTMENT,3,100,0,0,0,1,18,0,None,None,2,0,GOOD,For Sale
WAVRE,595000,HOUSE,HOUSE,5,232,0,0,1,1,50,1,452,580,4,0,AS_NEW,For Sale
Aalst,289000,HOUSE,HOUSE,3,217,0,0,0,1,None,1,100,392,3,0,TO_RENOVATE,For Sale
Oostkamp,295000,HOUSE,HOUSE,4,116,0,0,1,0,None,1,98,230,3,0,GOOD,For Sale
SCHOTEN,425000,HOUSE,HOUSE,4,250,0,0,0,1,17,1,91,172,2,0,AS_NEW,For Sale
Bertrix ,109000,HOUSE,HOUSE,4,145,0,0,0,1,8,1,52,167,3,0,GOOD,For Sale
Anderlecht,170000,APARTMENT,APARTMENT,1,60,0,0,0,0,None,0,None,None,2,0,TO_RENOVATE,For Sale
Kortemark,169000,HOUSE,HOUSE,2,136,0,0,0,0,None,1,282,551,3,0,GOOD,For Sale
Ixelles,320000,APARTMENT,APARTMENT,1,77,1,0,0,1,None,0,None,None,2,0,GOOD,For Sale
Evere,309000,APARTMENT,APARTMENT,2,120,0,0,0,0,None,0,None,None,None,0,GOOD,For Sale
Antwerpen,215000,APARTMENT,APARTMENT,2,78,0,0,0,1,7,0,None,None,2,0,GOOD,For Sale
BIERGES,515000,HOUSE,HOUSE,3,216,0,0,1,1,67,1,1100,1550,4,0,TO_BE_DONE_UP,For Sale
BORNEM,224000,APARTMENT,APARTMENT,2,84,0,0,0,1,None,1,53,None,2,0,GOOD,For Sale
Ronse,229000,HOUSE,HOUSE,2,141,1,0,0,1,35,1,20,102,2,0,JUST_RENOVATED,For Sale
HUY,235000,HOUSE,HOUSE,3,160,0,0,1,1,None,0,None,565,4,0,TO_BE_DONE_UP,For Sale
WAVRE,250000,APARTMENT,GROUND_FLOOR,2,100,0,0,0,1,4,1,278,None,2,0,TO_BE_DONE_UP,For Sale
Leuven,278000,APARTMENT,APARTMENT,1,70,0,0,0,1,5,0,None,None,2,0,AS_NEW,For Sale
BIERGES,250000,APARTMENT,GROUND_FLOOR,2,100,0,0,0,1,4,1,278,None,2,0,TO_BE_DONE_UP,For Sale
SINT-KATELIJNE-WAVER,274750,APARTMENT,GROUND_FLOOR,1,75,0,0,0,1,4,1,37,None,3,0,GOOD,For Sale
Molenbeek-Saint-Jean,275000,APARTMENT,GROUND_FLOOR,1,83,0,0,0,0,None,1,36,None,2,0,JUST_RENOVATED,For Sale
Heverlee,298000,APARTMENT,APARTMENT,2,80,0,0,0,1,4,0,None,None,None,0,None,For Sale
Kortrijk,639000,HOUSE,HOUSE,7,362,0,0,0,0,None,0,None,435,None,0,JUST_RENOVATED,For Sale
Bruxelles,299000,APARTMENT,APARTMENT,3,120,1,0,0,1,3,1,250,None,3,0,GOOD,For Sale
HARELBEKE,414000,HOUSE,HOUSE,4,180,0,0,0,0,None,0,None,1091,3,0,None,For Sale
Herentals,675000,HOUSE,HOUSE,4,300,0,0,0,0,None,0,None,1795,None,0,AS_NEW,For Sale
BELOEIL,350000,HOUSE,APARTMENT_BLOCK,0,129,0,0,0,0,None,0,None,0,None,0,TO_BE_DONE_UP,For Sale
HARELBEKE,411300,HOUSE,HOUSE,4,185,0,0,0,0,None,0,None,271,2,0,None,For Sale
Olen,675000,HOUSE,HOUSE,4,300,0,0,0,0,None,0,None,1795,None,0,AS_NEW,For Sale
HARELBEKE,446000,HOUSE,HOUSE,4,225,0,0,0,0,None,0,None,276,2,0,None,For Sale
HARELBEKE,451000,HOUSE,HOUSE,4,285,0,0,0,0,None,0,None,338,2,0,None,For Sale
HARELBEKE,411000,HOUSE,HOUSE,4,185,0,0,0,0,None,0,None,300,3,0,None,For Sale
Damme,297000,HOUSE,HOUSE,2,89,0,0,0,1,None,0,None,135,2,0,None,For Sale
Opwijk,409000,HOUSE,HOUSE,5,None,0,0,0,0,None,0,None,808,3,0,None,For Sale
Wortegem-Petegem,278708,APARTMENT,APARTMENT,2,89,0,0,0,0,None,1,68,None,None,0,GOOD,For Sale
Wilsele,449000,HOUSE,HOUSE,3,194,0,0,0,1,None,0,None,564,4,0,AS_NEW,For Sale
Lauwe,275000,HOUSE,HOUSE,4,None,0,0,0,0,None,0,None,373,3,0,AS_NEW,For Sale
Wortegem-Petegem,339200,HOUSE,HOUSE,3,144,0,0,0,0,None,1,84,157,4,0,GOOD,For Sale
Herentals,170000,APARTMENT,APARTMENT,2,80,1,0,0,1,15,0,None,None,2,0,GOOD,For Sale
Brakel,275000,APARTMENT,APARTMENT,2,125,1,0,0,1,None,0,None,None,2,0,GOOD,For Sale
Brakel,200000,HOUSE,HOUSE,2,115,0,0,0,1,None,0,None,140,2,0,GOOD,For Sale
